id,customer_id,reference,installment_no,lane,team,object_brand,object_type
26969,2686,BQ2333.20132.01,EQ301894,beefast,yellow,YALE,4218 Yal MR 14 FFL6500mm
27759,961,BQ0635.2005.01,EQ301958,beefast,yellow,RECO,RECO AL SYSTEM
8708,354,BQ0159.1903.01,EQ304726,beespecial,yellow,Vredo,VT4556 compleet met o.a. GPS zodebemester
8970,13702,BQ13343.1901.04,EQ304772,beespecial,logistics,DAF,XF 480 FT
7605,12121,BQ11764.1901.14,EQ304899,beespecial,logistics,Knapen,Walking Floor Trailer
8941,99,BQ0026.1903.05,EQ305004,beespecial,logistics,DAF XF,4X2 Trekker
7550,9831,BQ9475.1803.57,EQ306665,beespecial,logistics,Krone,Dry Box Type WK 7.3 RSTG
17948,48364,BQ43160.1901.02,EQ307230,beespecial,yellow,Terberg,YT182 4x2
